Name,Age,Overall,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
D. Calabria,21,78,79.0,30.0,64.0,75.0,58.0,73.0,76.0,48.0,68.0,74.0,81.0,77.0,83.0,74.0,78.0,62.0,69.0,81.0,64.0,48.0,78.0,77.0,42.0,50.0,48.0,74.0,78.0,78.0,77.0,8.0,14.0,15.0,12.0,7.0
F. Mendy,23,78,74.0,62.0,69.0,76.0,43.0,81.0,71.0,35.0,75.0,78.0,88.0,86.0,78.0,78.0,78.0,69.0,78.0,82.0,76.0,64.0,77.0,75.0,75.0,73.0,49.0,78.0,69.0,75.0,76.0,7.0,16.0,9.0,10.0,9.0
L. Pellegrini,22,78,72.0,60.0,71.0,82.0,69.0,76.0,69.0,40.0,79.0,79.0,77.0,74.0,68.0,73.0,69.0,76.0,67.0,76.0,69.0,72.0,71.0,70.0,74.0,76.0,49.0,79.0,70.0,74.0,72.0,12.0,7.0,10.0,13.0,11.0
Soares,27,78,52.0,76.0,77.0,68.0,73.0,75.0,69.0,40.0,54.0,77.0,79.0,86.0,71.0,78.0,65.0,77.0,78.0,76.0,78.0,68.0,90.0,40.0,84.0,58.0,68.0,79.0,50.0,45.0,35.0,8.0,9.0,7.0,7.0,7.0
Daniel Podence,22,78,63.0,64.0,42.0,74.0,57.0,84.0,75.0,42.0,66.0,81.0,94.0,92.0,92.0,77.0,94.0,65.0,66.0,72.0,30.0,55.0,67.0,21.0,76.0,77.0,63.0,78.0,42.0,30.0,29.0,14.0,14.0,8.0,7.0,15.0
M. Díaz,32,78,17.0,11.0,15.0,24.0,11.0,13.0,13.0,15.0,21.0,16.0,39.0,39.0,30.0,75.0,35.0,25.0,53.0,35.0,74.0,13.0,43.0,18.0,14.0,38.0,23.0,33.0,17.0,21.0,22.0,76.0,73.0,62.0,82.0,80.0
G. Martínez,25,78,74.0,70.0,32.0,70.0,72.0,86.0,76.0,73.0,68.0,81.0,90.0,88.0,92.0,79.0,88.0,80.0,53.0,72.0,61.0,82.0,42.0,23.0,71.0,72.0,77.0,77.0,41.0,28.0,30.0,6.0,9.0,13.0,12.0,15.0
M. Eggestein,21,78,65.0,61.0,65.0,79.0,46.0,77.0,58.0,48.0,77.0,79.0,66.0,69.0,74.0,76.0,67.0,77.0,53.0,96.0,74.0,80.0,68.0,68.0,69.0,74.0,45.0,75.0,72.0,75.0,63.0,15.0,10.0,13.0,15.0,8.0
Trezeguet,23,78,78.0,75.0,42.0,76.0,63.0,83.0,63.0,63.0,72.0,78.0,82.0,85.0,78.0,69.0,70.0,76.0,65.0,78.0,67.0,76.0,45.0,22.0,69.0,69.0,66.0,74.0,39.0,39.0,27.0,8.0,10.0,15.0,10.0,7.0
N. Amiri,21,78,73.0,65.0,43.0,79.0,65.0,85.0,76.0,71.0,73.0,81.0,77.0,68.0,79.0,75.0,76.0,70.0,66.0,77.0,66.0,70.0,48.0,62.0,69.0,78.0,65.0,69.0,53.0,57.0,46.0,12.0,12.0,14.0,12.0,10.0
Vallejo,21,78,41.0,44.0,74.0,76.0,36.0,56.0,29.0,31.0,75.0,67.0,67.0,74.0,69.0,77.0,69.0,49.0,77.0,66.0,69.0,31.0,74.0,82.0,32.0,33.0,45.0,76.0,79.0,78.0,81.0,10.0,13.0,15.0,13.0,6.0
J. Gomez,21,78,69.0,26.0,68.0,72.0,24.0,67.0,41.0,29.0,57.0,68.0,80.0,83.0,64.0,77.0,66.0,41.0,66.0,74.0,80.0,26.0,70.0,81.0,51.0,52.0,26.0,69.0,78.0,80.0,77.0,8.0,13.0,14.0,7.0,7.0
Diogo Jota,21,78,65.0,74.0,56.0,72.0,71.0,81.0,76.0,58.0,65.0,83.0,87.0,76.0,87.0,80.0,87.0,78.0,66.0,82.0,72.0,71.0,80.0,54.0,81.0,72.0,61.0,83.0,49.0,54.0,39.0,7.0,12.0,15.0,9.0,11.0
Joan Jordán,23,78,65.0,75.0,47.0,79.0,59.0,78.0,71.0,67.0,78.0,79.0,65.0,68.0,65.0,72.0,65.0,74.0,50.0,75.0,66.0,76.0,61.0,69.0,71.0,78.0,69.0,62.0,67.0,76.0,54.0,13.0,12.0,13.0,12.0,9.0
Dyego Sousa,28,78,48.0,81.0,83.0,64.0,75.0,74.0,46.0,34.0,45.0,76.0,58.0,54.0,53.0,75.0,39.0,84.0,74.0,82.0,83.0,75.0,80.0,25.0,80.0,53.0,75.0,68.0,23.0,22.0,27.0,15.0,7.0,12.0,7.0,9.0
A. Marušić,25,78,78.0,66.0,72.0,75.0,68.0,78.0,72.0,48.0,68.0,77.0,86.0,89.0,66.0,76.0,67.0,81.0,80.0,79.0,79.0,77.0,71.0,73.0,73.0,72.0,58.0,72.0,72.0,71.0,72.0,8.0,9.0,7.0,10.0,10.0
David Soria,25,78,15.0,19.0,24.0,24.0,19.0,16.0,23.0,11.0,33.0,19.0,49.0,34.0,45.0,75.0,42.0,54.0,60.0,43.0,76.0,18.0,24.0,18.0,12.0,45.0,23.0,58.0,22.0,13.0,13.0,81.0,73.0,66.0,81.0,75.0
V. Rongier,23,78,62.0,70.0,41.0,81.0,75.0,78.0,76.0,64.0,79.0,80.0,69.0,55.0,79.0,75.0,90.0,74.0,73.0,71.0,55.0,79.0,51.0,72.0,74.0,77.0,65.0,77.0,75.0,84.0,70.0,11.0,8.0,12.0,7.0,11.0
W. Weghorst,25,78,42.0,81.0,84.0,70.0,67.0,64.0,40.0,37.0,48.0,76.0,53.0,69.0,64.0,79.0,44.0,80.0,79.0,84.0,86.0,62.0,73.0,34.0,82.0,62.0,73.0,78.0,37.0,23.0,26.0,11.0,9.0,14.0,16.0,12.0
O. Al Soma,29,78,66.0,80.0,77.0,69.0,67.0,71.0,69.0,74.0,64.0,76.0,73.0,71.0,69.0,77.0,67.0,84.0,63.0,82.0,89.0,76.0,67.0,43.0,77.0,70.0,74.0,71.0,31.0,33.0,34.0,9.0,7.0,15.0,12.0,13.0
M. Nakamba,24,78,46.0,36.0,55.0,73.0,41.0,71.0,45.0,37.0,73.0,73.0,78.0,75.0,78.0,76.0,78.0,80.0,78.0,90.0,80.0,54.0,86.0,78.0,55.0,68.0,38.0,71.0,80.0,80.0,78.0,9.0,15.0,10.0,15.0,8.0
Petros,29,78,60.0,61.0,57.0,80.0,46.0,76.0,55.0,46.0,78.0,79.0,72.0,73.0,70.0,78.0,70.0,80.0,61.0,88.0,71.0,65.0,83.0,82.0,66.0,74.0,58.0,77.0,41.0,83.0,79.0,16.0,13.0,9.0,10.0,14.0
Pablo Maffeo,20,78,79.0,53.0,68.0,78.0,21.0,80.0,71.0,34.0,63.0,81.0,87.0,86.0,82.0,64.0,84.0,57.0,61.0,74.0,65.0,52.0,65.0,69.0,67.0,64.0,37.0,62.0,76.0,81.0,80.0,10.0,7.0,14.0,12.0,15.0
Y. Mina,23,78,43.0,51.0,86.0,73.0,41.0,60.0,38.0,30.0,52.0,53.0,45.0,62.0,53.0,72.0,34.0,70.0,70.0,79.0,87.0,50.0,80.0,73.0,48.0,54.0,53.0,80.0,79.0,79.0,75.0,10.0,8.0,12.0,9.0,12.0
M. Dúbravka,29,78,12.0,10.0,12.0,48.0,11.0,19.0,15.0,13.0,45.0,33.0,49.0,44.0,44.0,73.0,60.0,22.0,73.0,40.0,60.0,17.0,26.0,25.0,10.0,54.0,20.0,59.0,19.0,15.0,14.0,75.0,80.0,81.0,76.0,80.0
Diego Carlos,25,78,35.0,26.0,75.0,71.0,34.0,64.0,47.0,71.0,59.0,69.0,70.0,68.0,64.0,74.0,57.0,73.0,80.0,64.0,84.0,57.0,82.0,75.0,52.0,51.0,41.0,72.0,78.0,79.0,73.0,7.0,10.0,14.0,7.0,11.0
D. Djené,26,78,60.0,29.0,77.0,72.0,22.0,44.0,51.0,48.0,54.0,68.0,76.0,75.0,76.0,79.0,72.0,67.0,79.0,77.0,70.0,27.0,81.0,80.0,49.0,39.0,41.0,64.0,72.0,80.0,81.0,7.0,15.0,7.0,10.0,10.0
G. Simeone,22,78,40.0,80.0,80.0,68.0,72.0,76.0,69.0,60.0,55.0,76.0,79.0,78.0,76.0,76.0,74.0,79.0,84.0,74.0,72.0,66.0,70.0,24.0,80.0,60.0,71.0,76.0,51.0,29.0,26.0,12.0,15.0,9.0,14.0,11.0
M. Meza,25,78,72.0,73.0,67.0,76.0,66.0,86.0,82.0,76.0,68.0,79.0,80.0,82.0,87.0,73.0,75.0,76.0,67.0,81.0,70.0,74.0,73.0,31.0,71.0,76.0,54.0,73.0,68.0,37.0,32.0,9.0,9.0,16.0,12.0,11.0
Bastos,26,78,36.0,30.0,74.0,70.0,31.0,55.0,35.0,28.0,65.0,62.0,73.0,77.0,62.0,72.0,76.0,49.0,71.0,65.0,82.0,41.0,75.0,79.0,31.0,28.0,50.0,67.0,80.0,80.0,77.0,13.0,8.0,11.0,12.0,12.0
S. Lobotka,23,78,63.0,59.0,41.0,84.0,43.0,77.0,68.0,55.0,76.0,82.0,70.0,63.0,78.0,74.0,84.0,62.0,82.0,86.0,52.0,65.0,57.0,72.0,65.0,76.0,56.0,74.0,65.0,74.0,65.0,10.0,7.0,16.0,13.0,14.0
Y. Tielemans,21,78,76.0,73.0,57.0,78.0,78.0,76.0,84.0,74.0,78.0,81.0,52.0,53.0,67.0,75.0,76.0,88.0,65.0,73.0,69.0,86.0,70.0,71.0,74.0,81.0,76.0,81.0,66.0,72.0,69.0,6.0,8.0,10.0,14.0,12.0
Marcelo Goiano,30,78,79.0,34.0,68.0,75.0,40.0,77.0,68.0,34.0,61.0,76.0,77.0,75.0,77.0,77.0,74.0,71.0,72.0,86.0,64.0,65.0,74.0,74.0,69.0,52.0,41.0,73.0,76.0,76.0,77.0,13.0,7.0,15.0,7.0,14.0
K. Tete,22,78,74.0,42.0,74.0,73.0,36.0,68.0,52.0,34.0,63.0,70.0,74.0,79.0,66.0,74.0,73.0,60.0,77.0,77.0,76.0,41.0,80.0,75.0,60.0,58.0,46.0,73.0,77.0,81.0,86.0,9.0,15.0,11.0,6.0,10.0
Capa,26,78,77.0,56.0,61.0,71.0,52.0,74.0,55.0,58.0,56.0,76.0,82.0,86.0,75.0,73.0,86.0,81.0,77.0,92.0,80.0,62.0,86.0,71.0,76.0,72.0,54.0,69.0,68.0,75.0,82.0,12.0,13.0,6.0,12.0,11.0
M. Sportiello,26,78,13.0,18.0,18.0,32.0,12.0,19.0,14.0,21.0,19.0,22.0,48.0,38.0,55.0,74.0,58.0,19.0,68.0,37.0,66.0,17.0,23.0,29.0,18.0,44.0,21.0,59.0,26.0,17.0,13.0,80.0,76.0,68.0,77.0,81.0
Jemerson,25,78,30.0,28.0,78.0,68.0,46.0,54.0,26.0,26.0,60.0,63.0,70.0,65.0,64.0,81.0,58.0,45.0,83.0,67.0,78.0,35.0,75.0,79.0,26.0,46.0,54.0,75.0,80.0,80.0,77.0,7.0,15.0,9.0,13.0,10.0
N. Maksimović,26,78,45.0,22.0,79.0,59.0,28.0,49.0,29.0,23.0,59.0,61.0,62.0,68.0,49.0,71.0,58.0,39.0,67.0,67.0,86.0,29.0,78.0,80.0,29.0,31.0,26.0,70.0,79.0,80.0,79.0,12.0,9.0,5.0,11.0,15.0
D. Zapata,27,78,44.0,81.0,78.0,64.0,76.0,72.0,48.0,62.0,38.0,76.0,68.0,75.0,64.0,74.0,58.0,86.0,79.0,66.0,91.0,64.0,60.0,20.0,78.0,46.0,68.0,76.0,52.0,24.0,22.0,9.0,9.0,8.0,6.0,8.0
J. Correa,23,78,74.0,74.0,43.0,78.0,75.0,85.0,79.0,63.0,69.0,83.0,76.0,79.0,82.0,70.0,61.0,76.0,32.0,75.0,74.0,71.0,48.0,36.0,74.0,75.0,57.0,73.0,39.0,37.0,26.0,11.0,10.0,7.0,8.0,8.0
E. Rigoni,25,78,75.0,73.0,65.0,73.0,71.0,82.0,81.0,78.0,71.0,77.0,90.0,90.0,83.0,69.0,68.0,71.0,57.0,80.0,58.0,76.0,44.0,33.0,75.0,74.0,60.0,71.0,51.0,41.0,55.0,16.0,6.0,10.0,8.0,16.0
C. Izquierdoz,29,78,44.0,45.0,82.0,66.0,50.0,36.0,32.0,26.0,57.0,62.0,52.0,50.0,36.0,76.0,52.0,55.0,85.0,84.0,80.0,54.0,74.0,80.0,35.0,33.0,51.0,58.0,78.0,79.0,78.0,8.0,11.0,7.0,8.0,8.0
W. Barrios,24,78,59.0,30.0,59.0,78.0,22.0,66.0,31.0,31.0,65.0,69.0,76.0,71.0,75.0,77.0,73.0,53.0,78.0,93.0,77.0,39.0,84.0,80.0,60.0,65.0,32.0,76.0,85.0,81.0,73.0,13.0,14.0,13.0,15.0,16.0
J. Mojica,25,78,79.0,62.0,55.0,78.0,43.0,78.0,74.0,68.0,70.0,79.0,89.0,90.0,74.0,70.0,61.0,80.0,73.0,70.0,70.0,61.0,75.0,72.0,69.0,65.0,67.0,69.0,67.0,78.0,79.0,13.0,8.0,14.0,9.0,15.0
A. Selikhov,24,78,16.0,14.0,17.0,33.0,15.0,19.0,14.0,15.0,35.0,25.0,33.0,48.0,35.0,65.0,50.0,25.0,70.0,24.0,65.0,19.0,21.0,25.0,15.0,58.0,19.0,58.0,15.0,18.0,18.0,79.0,81.0,78.0,77.0,75.0
A. Iwobi,22,78,67.0,64.0,42.0,81.0,48.0,84.0,50.0,40.0,63.0,84.0,80.0,77.0,76.0,75.0,75.0,67.0,47.0,74.0,70.0,54.0,46.0,24.0,75.0,80.0,59.0,72.0,30.0,26.0,23.0,14.0,7.0,12.0,14.0,11.0
D. Laxalt,25,78,78.0,60.0,43.0,78.0,49.0,77.0,61.0,60.0,74.0,78.0,86.0,90.0,85.0,72.0,77.0,74.0,65.0,93.0,60.0,66.0,72.0,64.0,68.0,68.0,49.0,76.0,64.0,64.0,68.0,10.0,12.0,10.0,9.0,8.0
N. Bentaleb,23,78,65.0,62.0,51.0,80.0,67.0,82.0,69.0,62.0,76.0,81.0,66.0,64.0,75.0,76.0,71.0,83.0,53.0,75.0,72.0,79.0,74.0,77.0,68.0,80.0,81.0,79.0,65.0,71.0,60.0,9.0,10.0,16.0,9.0,15.0
N. Stark,23,78,54.0,50.0,83.0,76.0,48.0,65.0,43.0,35.0,67.0,70.0,74.0,79.0,63.0,73.0,62.0,63.0,64.0,70.0,79.0,55.0,74.0,79.0,52.0,71.0,39.0,69.0,78.0,79.0,76.0,7.0,15.0,10.0,15.0,13.0
M. Lemina,24,78,72.0,55.0,68.0,82.0,68.0,81.0,72.0,68.0,77.0,82.0,76.0,77.0,71.0,73.0,74.0,83.0,46.0,75.0,73.0,78.0,70.0,72.0,68.0,74.0,68.0,70.0,70.0,73.0,66.0,12.0,9.0,15.0,8.0,16.0
L. Dendoncker,23,78,75.0,66.0,78.0,78.0,71.0,68.0,72.0,71.0,78.0,73.0,61.0,68.0,57.0,73.0,53.0,86.0,66.0,89.0,87.0,76.0,73.0,78.0,71.0,76.0,44.0,74.0,76.0,78.0,76.0,14.0,8.0,14.0,14.0,6.0
Ricardo Esgaio,25,78,82.0,65.0,56.0,78.0,59.0,79.0,79.0,51.0,67.0,80.0,75.0,74.0,82.0,76.0,83.0,63.0,73.0,87.0,59.0,64.0,68.0,69.0,75.0,75.0,78.0,82.0,66.0,76.0,75.0,9.0,16.0,6.0,8.0,14.0
P. Sisto,23,78,78.0,76.0,51.0,70.0,65.0,86.0,74.0,75.0,65.0,80.0,81.0,81.0,82.0,73.0,84.0,82.0,82.0,80.0,64.0,72.0,52.0,51.0,73.0,75.0,66.0,74.0,35.0,55.0,48.0,12.0,6.0,12.0,11.0,11.0
P. Max,24,78,91.0,40.0,59.0,77.0,43.0,73.0,80.0,74.0,72.0,78.0,78.0,85.0,77.0,79.0,74.0,75.0,66.0,85.0,66.0,46.0,72.0,69.0,62.0,70.0,41.0,71.0,69.0,74.0,75.0,15.0,12.0,11.0,8.0,11.0
R. Gagliardini,24,78,64.0,54.0,73.0,78.0,68.0,75.0,68.0,38.0,75.0,77.0,68.0,68.0,64.0,72.0,62.0,76.0,64.0,85.0,71.0,73.0,74.0,80.0,68.0,73.0,40.0,74.0,77.0,78.0,76.0,12.0,6.0,8.0,7.0,9.0
Pere Pons,25,78,60.0,65.0,58.0,82.0,43.0,75.0,52.0,62.0,80.0,79.0,68.0,67.0,71.0,75.0,70.0,62.0,66.0,81.0,68.0,64.0,75.0,77.0,64.0,74.0,45.0,69.0,60.0,77.0,76.0,11.0,11.0,9.0,8.0,12.0
D. Berardi,23,78,74.0,74.0,62.0,75.0,78.0,80.0,70.0,73.0,75.0,85.0,79.0,79.0,87.0,73.0,73.0,83.0,66.0,70.0,65.0,79.0,85.0,26.0,77.0,71.0,74.0,74.0,45.0,30.0,30.0,5.0,6.0,5.0,5.0,6.0
M. Halstenberg,26,78,79.0,57.0,78.0,76.0,55.0,69.0,77.0,74.0,62.0,74.0,66.0,69.0,65.0,76.0,59.0,79.0,83.0,79.0,78.0,67.0,73.0,74.0,61.0,54.0,67.0,70.0,80.0,79.0,74.0,9.0,15.0,14.0,10.0,16.0
J. Quintero,25,78,75.0,66.0,42.0,78.0,65.0,83.0,80.0,77.0,77.0,83.0,73.0,71.0,90.0,72.0,91.0,83.0,55.0,44.0,38.0,73.0,43.0,35.0,63.0,85.0,71.0,75.0,52.0,30.0,22.0,14.0,16.0,10.0,7.0,12.0
Tiago Volpi,27,78,20.0,14.0,13.0,31.0,20.0,16.0,50.0,60.0,26.0,24.0,59.0,58.0,63.0,75.0,47.0,70.0,75.0,36.0,72.0,14.0,24.0,15.0,10.0,39.0,21.0,68.0,16.0,10.0,12.0,83.0,67.0,66.0,78.0,82.0
Óliver Torres,23,78,73.0,70.0,52.0,81.0,60.0,83.0,77.0,64.0,78.0,82.0,72.0,65.0,78.0,78.0,78.0,65.0,62.0,71.0,38.0,69.0,58.0,67.0,76.0,80.0,64.0,82.0,66.0,66.0,62.0,7.0,7.0,14.0,6.0,8.0
Omar Mascarell,25,78,50.0,53.0,56.0,82.0,54.0,75.0,61.0,68.0,83.0,80.0,65.0,64.0,76.0,73.0,68.0,74.0,73.0,79.0,75.0,69.0,70.0,75.0,62.0,74.0,68.0,74.0,77.0,76.0,71.0,6.0,7.0,9.0,10.0,11.0
H. Sakai,28,78,74.0,33.0,71.0,71.0,41.0,64.0,67.0,55.0,64.0,69.0,78.0,78.0,71.0,76.0,69.0,72.0,75.0,90.0,74.0,58.0,79.0,74.0,74.0,60.0,36.0,68.0,77.0,77.0,80.0,13.0,8.0,11.0,10.0,9.0
Andreas Pereira,22,78,78.0,74.0,56.0,80.0,72.0,81.0,80.0,80.0,77.0,81.0,78.0,74.0,78.0,74.0,78.0,73.0,62.0,75.0,68.0,77.0,69.0,68.0,71.0,78.0,70.0,74.0,67.0,65.0,63.0,15.0,14.0,7.0,10.0,7.0
A. Januzaj,23,78,77.0,71.0,23.0,79.0,67.0,81.0,74.0,65.0,74.0,80.0,79.0,76.0,83.0,76.0,71.0,72.0,61.0,68.0,59.0,70.0,41.0,36.0,76.0,78.0,60.0,70.0,30.0,22.0,22.0,15.0,10.0,11.0,12.0,7.0
B. Cristante,23,78,68.0,68.0,70.0,83.0,67.0,78.0,65.0,64.0,78.0,81.0,63.0,58.0,64.0,74.0,54.0,74.0,58.0,69.0,70.0,74.0,64.0,66.0,76.0,76.0,58.0,70.0,70.0,69.0,66.0,3.0,5.0,3.0,3.0,5.0
Matheus,25,78,15.0,12.0,14.0,27.0,13.0,12.0,21.0,12.0,36.0,22.0,44.0,47.0,45.0,74.0,48.0,21.0,63.0,32.0,71.0,15.0,19.0,26.0,12.0,52.0,13.0,46.0,16.0,20.0,15.0,80.0,73.0,71.0,77.0,80.0
B. Traoré,22,78,65.0,75.0,64.0,77.0,75.0,85.0,80.0,74.0,69.0,87.0,85.0,90.0,88.0,75.0,71.0,76.0,78.0,75.0,64.0,66.0,60.0,45.0,79.0,74.0,69.0,73.0,38.0,40.0,37.0,11.0,7.0,7.0,13.0,12.0
Y. Poulsen,24,78,69.0,72.0,84.0,74.0,68.0,75.0,71.0,43.0,48.0,71.0,79.0,79.0,75.0,79.0,55.0,73.0,83.0,87.0,78.0,58.0,84.0,48.0,80.0,65.0,59.0,68.0,55.0,59.0,33.0,6.0,11.0,15.0,14.0,8.0
L. Trossard,23,78,75.0,80.0,64.0,76.0,76.0,83.0,81.0,69.0,68.0,78.0,92.0,76.0,93.0,70.0,87.0,77.0,89.0,73.0,60.0,81.0,47.0,18.0,75.0,71.0,75.0,84.0,40.0,31.0,18.0,14.0,8.0,11.0,7.0,7.0
M. Arnold,24,78,70.0,77.0,54.0,79.0,85.0,78.0,77.0,75.0,78.0,79.0,66.0,64.0,71.0,78.0,67.0,87.0,52.0,77.0,67.0,87.0,66.0,75.0,75.0,74.0,57.0,76.0,75.0,71.0,66.0,11.0,9.0,11.0,10.0,10.0
M. De Sciglio,25,78,78.0,33.0,68.0,74.0,41.0,74.0,75.0,39.0,68.0,75.0,75.0,79.0,79.0,72.0,77.0,67.0,77.0,87.0,68.0,51.0,74.0,76.0,64.0,60.0,49.0,72.0,79.0,78.0,78.0,5.0,3.0,5.0,5.0,3.0
Leo Baptistao,25,78,71.0,75.0,75.0,77.0,77.0,80.0,70.0,59.0,63.0,80.0,75.0,78.0,77.0,82.0,68.0,74.0,70.0,74.0,71.0,74.0,38.0,28.0,83.0,74.0,65.0,75.0,36.0,24.0,19.0,8.0,14.0,9.0,6.0,9.0
V. Chiricheş,28,78,46.0,56.0,73.0,68.0,70.0,59.0,46.0,25.0,70.0,66.0,66.0,67.0,57.0,74.0,72.0,82.0,73.0,66.0,72.0,72.0,76.0,79.0,36.0,46.0,51.0,69.0,83.0,82.0,78.0,7.0,11.0,10.0,14.0,13.0
L. Pavoletti,29,78,33.0,81.0,93.0,64.0,80.0,66.0,49.0,28.0,36.0,74.0,66.0,63.0,65.0,76.0,59.0,80.0,86.0,66.0,84.0,56.0,60.0,24.0,80.0,52.0,64.0,73.0,49.0,21.0,17.0,15.0,6.0,12.0,14.0,9.0
A. Cragno,24,78,15.0,12.0,12.0,26.0,13.0,13.0,11.0,12.0,25.0,21.0,41.0,37.0,37.0,62.0,43.0,19.0,74.0,43.0,55.0,17.0,33.0,19.0,15.0,42.0,31.0,59.0,20.0,11.0,12.0,82.0,76.0,60.0,76.0,85.0
L. Castro,29,78,78.0,58.0,58.0,80.0,67.0,80.0,76.0,68.0,76.0,82.0,78.0,75.0,78.0,76.0,78.0,77.0,66.0,75.0,68.0,74.0,65.0,73.0,75.0,77.0,68.0,77.0,52.0,70.0,70.0,6.0,7.0,9.0,15.0,5.0
N. Füllkrug,25,78,63.0,81.0,80.0,67.0,71.0,70.0,69.0,69.0,48.0,74.0,65.0,65.0,66.0,77.0,52.0,79.0,69.0,73.0,83.0,72.0,67.0,24.0,82.0,61.0,77.0,72.0,47.0,30.0,17.0,15.0,9.0,10.0,13.0,9.0
F. Fajr,29,78,77.0,72.0,49.0,80.0,62.0,76.0,81.0,77.0,81.0,79.0,67.0,61.0,74.0,74.0,71.0,74.0,37.0,66.0,67.0,78.0,70.0,76.0,69.0,79.0,72.0,63.0,70.0,77.0,78.0,15.0,12.0,14.0,15.0,6.0
R. Jiménez,27,78,69.0,76.0,81.0,71.0,77.0,74.0,71.0,45.0,67.0,74.0,69.0,76.0,73.0,76.0,49.0,79.0,68.0,76.0,78.0,68.0,80.0,51.0,83.0,71.0,90.0,74.0,46.0,36.0,28.0,7.0,11.0,13.0,14.0,10.0
E. Sala,27,78,59.0,80.0,81.0,71.0,77.0,75.0,72.0,41.0,63.0,75.0,56.0,61.0,59.0,80.0,55.0,79.0,77.0,92.0,84.0,75.0,75.0,62.0,82.0,63.0,73.0,81.0,62.0,59.0,51.0,7.0,11.0,7.0,9.0,7.0
S. García,27,78,55.0,82.0,75.0,61.0,71.0,71.0,68.0,75.0,54.0,76.0,67.0,66.0,68.0,71.0,68.0,82.0,75.0,75.0,88.0,73.0,86.0,25.0,84.0,71.0,77.0,77.0,20.0,24.0,15.0,12.0,12.0,11.0,9.0,9.0
S. Arias,26,78,74.0,51.0,67.0,74.0,43.0,74.0,31.0,54.0,73.0,76.0,84.0,86.0,78.0,76.0,77.0,56.0,82.0,90.0,69.0,50.0,79.0,75.0,70.0,64.0,56.0,76.0,74.0,76.0,77.0,14.0,7.0,14.0,15.0,16.0
B. Reynet,27,78,15.0,17.0,14.0,33.0,19.0,11.0,10.0,14.0,32.0,21.0,41.0,45.0,43.0,75.0,24.0,18.0,62.0,34.0,68.0,15.0,36.0,16.0,12.0,16.0,19.0,62.0,10.0,12.0,10.0,77.0,76.0,74.0,77.0,81.0
Pozuelo,26,78,65.0,66.0,39.0,82.0,62.0,81.0,75.0,74.0,73.0,83.0,62.0,57.0,76.0,76.0,82.0,66.0,60.0,75.0,50.0,71.0,52.0,62.0,74.0,82.0,64.0,81.0,46.0,52.0,40.0,10.0,8.0,14.0,10.0,8.0
A. Trebel,27,78,75.0,59.0,33.0,77.0,71.0,77.0,73.0,75.0,79.0,77.0,79.0,75.0,77.0,78.0,87.0,80.0,77.0,82.0,69.0,76.0,80.0,74.0,72.0,77.0,55.0,75.0,67.0,74.0,70.0,8.0,11.0,14.0,16.0,12.0
J. Lascelles,24,78,46.0,23.0,79.0,65.0,33.0,50.0,29.0,16.0,57.0,65.0,60.0,63.0,67.0,75.0,51.0,40.0,85.0,70.0,84.0,27.0,83.0,76.0,23.0,40.0,19.0,71.0,80.0,77.0,76.0,10.0,15.0,7.0,10.0,15.0
T. Kongolo,24,78,67.0,27.0,74.0,72.0,40.0,67.0,63.0,44.0,65.0,72.0,72.0,74.0,71.0,70.0,62.0,67.0,91.0,71.0,79.0,52.0,75.0,76.0,49.0,49.0,42.0,73.0,77.0,80.0,79.0,8.0,14.0,12.0,11.0,12.0
A. Carrillo,27,78,78.0,73.0,70.0,73.0,74.0,85.0,78.0,55.0,60.0,82.0,86.0,86.0,80.0,74.0,76.0,76.0,73.0,67.0,72.0,75.0,53.0,34.0,74.0,73.0,68.0,73.0,19.0,32.0,25.0,11.0,14.0,13.0,12.0,7.0
Álvaro,28,78,51.0,22.0,73.0,69.0,31.0,48.0,47.0,45.0,57.0,67.0,72.0,73.0,68.0,76.0,72.0,48.0,92.0,78.0,74.0,26.0,89.0,79.0,45.0,39.0,36.0,67.0,76.0,78.0,81.0,8.0,13.0,12.0,12.0,8.0
G. Defrel,27,78,70.0,79.0,68.0,67.0,75.0,83.0,67.0,69.0,60.0,82.0,88.0,87.0,82.0,75.0,72.0,79.0,42.0,59.0,58.0,78.0,53.0,37.0,81.0,75.0,69.0,75.0,50.0,15.0,18.0,14.0,15.0,11.0,12.0,7.0
Fernando,26,78,60.0,63.0,62.0,81.0,45.0,70.0,82.0,84.0,82.0,76.0,70.0,76.0,74.0,73.0,81.0,76.0,80.0,80.0,69.0,76.0,80.0,80.0,47.0,75.0,61.0,70.0,69.0,78.0,77.0,16.0,9.0,13.0,8.0,6.0
V. Darida,27,78,76.0,68.0,41.0,81.0,65.0,78.0,78.0,69.0,75.0,81.0,70.0,65.0,82.0,74.0,88.0,76.0,77.0,94.0,48.0,76.0,56.0,69.0,72.0,77.0,76.0,79.0,72.0,66.0,59.0,16.0,14.0,16.0,14.0,14.0
